Trinity ID,显示名,有爬虫,上游来源,计价模式,档位,判定,线_入(USD/M),爬_入(USD/M),入Δ%,线_出(USD/M),爬_出(USD/M),出Δ%,线_缓(USD/M),爬_缓(USD/M),缓Δ%
gpt-5.1,gpt-5.1,是,aigc_domestic,legacy,标准计价,偏差,1.25,1.25,0,10,10,0,0.125,0.144231,-13.3
gpt-5.1-chat,gpt-5.1-chat,是,aigc_domestic,legacy,标准计价,偏差,1.25,1.25,0,10,10,0,0.125,0.144231,-13.3
gpt-5.2,gpt-5.2,是,aigc_domestic,legacy,标准计价,偏差,1.75,1.75,0,14,14,0,0.18,0.201923,-10.9
gpt-5.4,gpt-5.4,是,aigc_domestic,context_length_range,≤ 272K,偏差,2.5,2.5,0,15,15,0,0.25,0.288462,-13.3
gpt-5.4,gpt-5.4,是,aigc_domestic,context_length_range,> 272K,偏差,5,5,0,22.5,22.5,0,0.5,0.576923,-13.3
gpt-5.4-mini,gpt-5.4-mini,是,aigc_domestic,legacy,标准计价,偏差,0.75,0.75,0,4.5,4.5,0,0.075,0.086538,-13.3
gpt-5.4-pro,gpt-5.4-pro,是,aigc_domestic,context_length_range,≤ 272K,一致,30,30,0,180,180,0,,,
gpt-5.4-pro,gpt-5.4-pro,是,aigc_domestic,context_length_range,> 272K,一致,60,60,0,270,270,0,,,
hunyuan-role-latest,Hy-Role Latest,是,tokenhub,legacy,标准计价,偏差,0.331034,0.369231,-10.3,1.324138,1.476923,-10.3,,,
hy-mt2-lite,Hy-MT2 Lite,是,tokenhub,legacy,标准计价,偏差,0.041379,0.046154,-10.3,0.165517,0.184615,-10.3,,,
hy-mt2-plus,Hy-MT2 Plus,是,tokenhub,legacy,标准计价,偏差,0.068966,0.076923,-10.3,0.275862,0.307692,-10.3,,,
hy-mt2-pro,Hy-MT2 Pro,是,tokenhub,legacy,标准计价,偏差,0.068966,0.076923,-10.3,0.275862,0.307692,-10.3,,,
hy-role,Hy-Role,是,tokenhub,legacy,标准计价,偏差,0.331034,0.369231,-10.3,1.324138,1.476923,-10.3,,,
hy-vision-2.0-instruct,Hy-Vision 2.0 Instruct,否,,legacy,标准计价,无爬虫,1.034483,,,2.413793,,,,,
hy3-preview,Hy3 Preview,是,tokenhub,context_length_range,≤ 16.38K,偏差,0.165517,0.184615,-10.3,0.551724,0.615385,-10.3,0.055172,0.061538,-10.3
hy3-preview,Hy3 Preview,是,tokenhub,context_length_range,16.39K – 32.77K,偏差,0.22069,0.246154,-10.3,0.882759,0.984615,-10.3,0.082759,0.092308,-10.3
hy3-preview,Hy3 Preview,是,tokenhub,context_length_range,> 32.77K,偏差,0.275862,0.307692,-10.3,1.103448,1.230769,-10.3,0.110345,0.123077,-10.3
kimi-k2.5,Kimi K2.5,是,tokenhub,legacy,标准计价,偏差,0.551724,0.615385,-10.3,2.896552,3.230769,-10.3,0.137931,0.107692,28.1
kimi-k2.6,Kimi K2.6,是,tokenhub,legacy,标准计价,偏差,0.8966,1,-10.3,3.7242,4.153846,-10.3,0.1518,0.169231,-10.3
kimi-k2.7-code,Kimi K2.7 Code,是,tokenhub,legacy,标准计价,偏差,0.896552,1,-10.3,3.724138,4.153846,-10.3,,,
kimi-k2.7-code-highspeed,Kimi K2.7 Code HighSpeed,是,tokenhub,legacy,标准计价,偏差,1.793103,2,-10.3,7.448276,8.307692,-10.3,0.358621,0.4,-10.3
minimax-m2.5,MiniMax M2.5,是,tokenhub,legacy,标准计价,偏差,0.289655,0.323077,-10.3,1.158621,1.292308,-10.3,0.028966,0.032308,-10.3
minimax-m2.7,MiniMax M2.7,是,tokenhub,legacy,标准计价,偏差,0.289655,0.323077,-10.3,1.158621,1.292308,-10.3,0.057931,0.064615,-10.3
minimax-m3,MiniMax M3,是,tokenhub,context_length_range,≤ 524.29K,偏差,0.289655,0.323077,-10.3,1.158621,1.292308,-10.3,0.057931,0.064615,-10.3
minimax-m3,MiniMax M3,是,tokenhub,context_length_range,> 524.29K,偏差,0.57931,0.646154,-10.3,2.317241,2.584615,-10.3,0.115862,0.129231,-10.3
qwen-flash,Qwen Flash,是,bailian,legacy,标准计价,偏差,0.02069,0.023077,-10.3,0.082759,0.230769,-64.1,0.005172,0.004615,12.1
qwen-max,Qwen Max,是,bailian,legacy,标准计价,偏差,0.331034,0.369231,-10.3,1.324138,1.476923,-10.3,0.082759,0.082759,0
qwen-plus,Qwen Plus,是,bailian,legacy,标准计价,偏差,0.110345,0.123077,-10.3,0.275862,0.307692,-10.3,0.027586,0.024615,12.1
qwen-turbo,Qwen Turbo,是,bailian,legacy,标准计价,偏差,0.041379,0.046154,-10.3,0.082759,0.092308,-10.3,0.010345,0.010345,0
qwen3.5-flash,Qwen3.5 Flash,是,tokenhub,legacy,标准计价,偏差,0.027586,0.030769,-10.3,0.275862,0.307692,-10.3,0.006897,0.003077,124.1
qwen3.5-plus,Qwen3.5 Plus,是,tokenhub,legacy,标准计价,偏差,0.110345,0.123077,-10.3,0.662069,0.738462,-10.3,0.027586,0.012308,124.1
qwen3.6-flash,Qwen3.6 Flash,是,bailian,legacy,标准计价,偏差,0.165517,0.184615,-10.3,0.993103,1.107692,-10.3,0.041379,0.036923,12.1
qwen3.6-plus,Qwen3.6 Plus,是,bailian,legacy,标准计价,偏差,0.275862,0.307692,-10.3,1.655172,1.846154,-10.3,0.068966,0.061538,12.1
qwen3.7-max,Qwen3.7 Max,是,bailian,legacy,标准计价,偏差,1.655172,1.846154,-10.3,4.965517,5.538462,-10.3,0.413793,0.369231,12.1
qwen3.7-plus,Qwen3.7 Plus,是,bailian,legacy,标准计价,偏差,0.275862,0.307692,-10.3,1.103448,1.230769,-10.3,0.068966,0.061538,12.1
